word,rating,count
pastries,4.548,2025
pulled,4.548,42
solid,4.548,42
version,4.548,42
pork,4.547,247
lines,4.546,1249
face,4.545,66
pricey,4.545,22
till,4.545,33
ugh,4.545,22
wonder,4.545,55
especially,4.544,226
bought,4.543,140
yelp,4.543,138
coffee,4.542,522
yes,4.542,260
early,4.541,133
sucks,4.54,50
place,4.539,2939
bright,4.538,13
clam,4.538,13
directly,4.538,13
glazed,4.538,13
gooey,4.538,13
layers,4.538,26
lil,4.538,13
lunches,4.538,13
meal,4.538,158
napoleon,4.538,52
planet,4.538,13
purchased,4.538,26
refugiado,4.538,13
reviewers,4.538,13
send,4.538,13
simply,4.538,91
tried,4.538,656
wedding,4.538,52
cakes,4.537,989
deli,4.537,41
luckily,4.537,41
offer,4.537,95
slightly,4.537,41
90,4.536,56
garlic,4.536,56
minute,4.536,69
portos,4.535,923
colada,4.534,58
pastry,4.534,768
blvd,4.533,15
carne,4.533,15
celebration,4.533,15
chicken,4.533,723
crumb,4.533,15
incredibly,4.533,60
points,4.533,15
posted,4.533,15
rare,4.533,15
salads,4.533,92
stores,4.533,15
touch,4.533,30
value,4.533,45
knows,4.532,62
options,4.532,111
seen,4.532,77
block,4.531,32
eat,4.531,635
hollywood,4.531,64
ll,4.531,533
places,4.531,192
long,4.53,1426
tip,4.53,66
add,4.529,119
factory,4.529,17
hard,4.529,189
hundreds,4.529,17
outer,4.529,17
shops,4.529,17
speed,4.529,17
spicy,4.529,51
bite,4.528,178
consistently,4.528,36
inside,4.528,409
walking,4.528,72
cupcake,4.527,112
milk,4.527,93
ample,4.526,19
greatest,4.526,19
grew,4.526,19
kill,4.526,19
rarely,4.526,19
spectacular,4.526,19
beef,4.525,217
lunch,4.524,594
question,4.524,21
taco,4.524,21
thing,4.524,498
carrot,4.523,86
def,4.522,23
everybody,4.522,23
insanely,4.522,23
loaf,4.522,23
typical,4.522,23
bit,4.521,338
brought,4.521,144
creamy,4.521,117
plantain,4.521,311
dinner,4.52,148
guests,4.52,25
hint,4.52,25
knew,4.52,75
park,4.52,100
pollo,4.52,25
gets,4.519,208
impossible,4.519,27
pretty,4.519,790
shorter,4.519,27
slices,4.519,54
unbelievable,4.519,27
considering,4.518,56
nice,4.518,400
particular,4.517,29
seating,4.517,180
flavorful,4.516,93
jam,4.516,31
suggest,4.516,64
ball,4.515,538
flakey,4.514,35
guys,4.512,43
glendale,4.511,378
things,4.511,454
cause,4.51,51
menu,4.51,335
real,4.509,106
enjoy,4.508,187
fluffy,4.508,61
right,4.508,524
butter,4.507,71
feta,4.507,138
home,4.507,456
pineapple,4.507,75
chip,4.506,79
tons,4.506,81
drinks,4.505,222
man,4.505,101
happy,4.502,211
huge,4.502,325
admit,4.5,30
afraid,4.5,24
apart,4.5,12
areas,4.5,18
balance,4.5,26
bananas,4.5,16
beans,4.5,82
bun,4.5,16
candy,4.5,30
casual,4.5,16
craving,4.5,72
currently,4.5,12
darn,4.5,42
date,4.5,26
dishes,4.5,22
